Material ID,Composition,Band Gap,Calc Types
mp-24308,Al4 Si4 H36 C12 Cl8 O4,5.380599999999999,"{'mp-860634': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>, 'mp-727797': <CalcType.GGA_Static: 'GGA Static'>, 'mp-24308': <CalcType.GGA_Structure_Optimization: 'GGA Structure Optimization'>, 'mp-1134096': <CalcType.GGA_Structure_Optimization: 'GGA Structure Optimization'>, 'mp-1250706': <CalcType.GGA_NMR_Nuclear_Shielding: 'GGA NMR Nuclear Shielding'>, 'mp-1254748': <CalcType.GGA_NMR_Electric_Field_Gradient: 'GGA NMR Electric Field Gradient'>, 'mp-1256321': <CalcType.GGA_NMR_Electric_Field_Gradient: 'GGA NMR Electric Field Gradient'>, 'mp-1256637': <CalcType.GGA_Structure_Optimization: 'GGA Structure Optimization'>, 'mp-1265596': <CalcType.GGA_Structure_Optimization: 'GGA Structure Optimization'>, 'mp-1265752': <CalcType.GGA_NMR_Nuclear_Shielding: 'GGA NMR Nuclear Shielding'>, 'mp-1353016': <CalcType.GGA_Static: 'GGA Static'>, 'mp-736920': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>, 'mp-1684261': <CalcType.GGA_NSCF_Uniform: 'GGA NSCF Uniform'>, 'mp-1851275': <CalcType.GGA_Static: 'GGA Static'>}"
mp-555532,Cs4 B4 C12 N4 O4 F36,3.4772,"{'mp-847954': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>, 'mp-723564': <CalcType.GGA_Static: 'GGA Static'>, 'mp-555532': <CalcType.GGA_Structure_Optimization: 'GGA Structure Optimization'>, 'mp-1360349': <CalcType.GGA_Static: 'GGA Static'>, 'mp-746507': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>, 'mp-1684560': <CalcType.GGA_NSCF_Uniform: 'GGA NSCF Uniform'>, 'mp-1847805': <CalcType.GGA_Static: 'GGA Static'>}"
mp-554876,As4 C4 S8 N8 O4 F20,2.8314,"{'mp-683729': <CalcType.GGA_Static: 'GGA Static'>, 'mp-845765': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>, 'mp-554876': <CalcType.GGA_Structure_Optimization: 'GGA Structure Optimization'>, 'mp-1328955': <CalcType.GGA_Static: 'GGA Static'>, 'mp-795488': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>, 'mp-1870298': <CalcType.GGA_Static: 'GGA Static'>}"
mp-556622,Tl16 Os8 C8 Br16 O8 F24,0.756799999999999,"{'mp-722164': <CalcType.GGA_Static: 'GGA Static'>, 'mp-847989': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>, 'mp-556622': <CalcType.GGA_Structure_Optimization: 'GGA Structure Optimization'>, 'mp-999661': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>, 'mp-1327228': <CalcType.GGA_Static: 'GGA Static'>}"
mp-561214,Sb4 H12 C4 S4 Cl24 O4,2.046,"{'mp-658794': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>, 'mp-561214': <CalcType.GGA_Structure_Optimization: 'GGA Structure Optimization'>, 'mp-684282': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>, 'mp-655637': <CalcType.GGA_Static: 'GGA Static'>, 'mp-1359992': <CalcType.GGA_Static: 'GGA Static'>, 'mp-1850963': <CalcType.GGA_Static: 'GGA Static'>}"
mp-601902,Tl8 H4 Pt4 C20 N20 O4,3.2618,"{'mp-1332148': <CalcType.GGA_Static: 'GGA Static'>, 'mp-1848385': <CalcType.GGA_Static: 'GGA Static'>, 'mp-601902': <CalcType.GGA_Structure_Optimization: 'GGA Structure Optimization'>, 'mp-657441': <CalcType.GGA_Static: 'GGA Static'>, 'mp-679503': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>, 'mp-664492': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>}"
mp-605047,P8 H24 C20 N8 Cl16 O4,2.7036,"{'mp-657807': <CalcType.GGA_Static: 'GGA Static'>, 'mp-605047': <CalcType.GGA_Structure_Optimization: 'GGA Structure Optimization'>, 'mp-680644': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>, 'mp-665499': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>, 'mp-1237664': <CalcType.GGA_Structure_Optimization: 'GGA Structure Optimization'>, 'mp-1326638': <CalcType.GGA_Static: 'GGA Static'>, 'mp-1848756': <CalcType.GGA_Static: 'GGA Static'>}"
mp-697278,Na4 Ca4 Al4 H8 O4 F24,6.7783,"{'mp-697278': <CalcType.GGA_Structure_Optimization: 'GGA Structure Optimization'>, 'mp-726273': <CalcType.GGA_Static: 'GGA Static'>, 'mp-864015': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>, 'mp-1335813': <CalcType.GGA_Static: 'GGA Static'>, 'mp-747137': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>, 'mp-864359': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>, 'mp-1825635': <CalcType.GGA_Static: 'GGA Static'>}"
mp-722501,Sn4 H12 S16 N16 Cl20 O4,1.8465,"{'mp-735178': <CalcType.GGA_Static: 'GGA Static'>, 'mp-848921': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>, 'mp-722501': <CalcType.GGA_Structure_Optimization: 'GGA Structure Optimization'>, 'mp-1330153': <CalcType.GGA_Static: 'GGA Static'>, 'mp-745908': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>}"
mp-849790,Si4 H84 C24 N8 O4 F20,5.6441,"{'mp-857916': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>, 'mp-856986': <CalcType.GGA_Static: 'GGA Static'>, 'mp-849790': <CalcType.GGA_Structure_Optimization: 'GGA Structure Optimization'>, 'mp-1252527': <CalcType.GGA_NMR_Electric_Field_Gradient: 'GGA NMR Electric Field Gradient'>, 'mp-1258242': <CalcType.GGA_NMR_Nuclear_Shielding: 'GGA NMR Nuclear Shielding'>, 'mp-1265847': <CalcType.GGA_Structure_Optimization: 'GGA Structure Optimization'>, 'mp-1338845': <CalcType.GGA_Static: 'GGA Static'>, 'mp-1844875': <CalcType.GGA_Static: 'GGA Static'>}"
mp-1106075,K2 Au2 C4 N4 Cl4 O2,0.0285,"{'mp-1106075': <CalcType.GGA_Structure_Optimization: 'GGA Structure Optimization'>, 'mp-1816301': <CalcType.GGA_Static: 'GGA Static'>, 'mp-1986302': <CalcType.GGA_Static: 'GGA Static'>}"
mp-1195326,H12 C4 S4 N4 O4 F8,4.8222000000000005,"{'mp-1195326': <CalcType.GGA_Structure_Optimization: 'GGA Structure Optimization'>, 'mp-1195673': <CalcType.GGA_Structure_Optimization: 'GGA Structure Optimization'>, 'mp-1398442': <CalcType.GGA_Static: 'GGA Static'>, 'mp-1741964': <CalcType.GGA_NSCF_Uniform: 'GGA NSCF Uniform'>, 'mp-1883581': <CalcType.GGA_Static: 'GGA Static'>}"
mp-1203356,H4 C8 S4 Cl4 O4 F8,3.6948,"{'mp-1203356': <CalcType.GGA_Structure_Optimization: 'GGA Structure Optimization'>, 'mp-1387922': <CalcType.GGA_Static: 'GGA Static'>, 'mp-1730953': <CalcType.GGA_NSCF_Uniform: 'GGA NSCF Uniform'>, 'mp-1880920': <CalcType.GGA_Static: 'GGA Static'>}"
mp-722997,Na4 Ca4 Al4 H8 O4 F24,6.6377,"{'mp-745215': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>, 'mp-722997': <CalcType.GGA_Structure_Optimization: 'GGA Structure Optimization'>, 'mp-736250': <CalcType.GGA_Static: 'GGA Static'>, 'mp-1254882': <CalcType.GGA_NMR_Electric_Field_Gradient: 'GGA NMR Electric Field Gradient'>, 'mp-1256622': <CalcType.GGA_NMR_Nuclear_Shielding: 'GGA NMR Nuclear Shielding'>, 'mp-1257761': <CalcType.GGA_NMR_Nuclear_Shielding: 'GGA NMR Nuclear Shielding'>, 'mp-1258612': <CalcType.GGA_NMR_Electric_Field_Gradient: 'GGA NMR Electric Field Gradient'>, 'mp-1264271': <CalcType.GGA_Structure_Optimization: 'GGA Structure Optimization'>, 'mp-1265483': <CalcType.GGA_Structure_Optimization: 'GGA Structure Optimization'>, 'mp-1370374': <CalcType.GGA_Static: 'GGA Static'>, 'mp-1826851': <CalcType.GGA_Static: 'GGA Static'>, 'mp-746976': <CalcType.GGA_NSCF_Line: 'GGA NSCF Line'>}"
mp-1199273,Cs6 B6 H6 C18 O6 F54,5.7833000000000006,"{'mp-1199273': <CalcType.GGA_Structure_Optimization: 'GGA Structure Optimization'>, 'mp-1238089': <CalcType.GGA_Structure_Optimization: 'GGA Structure Optimization'>, 'mp-1363177': <CalcType.GGA_Static: 'GGA Static'>}"
